#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
arctic_dwarf;Arctic Dwarf;;;;;;;;;;;;;x
calishite;Calishite;;;;;;;;;;;;;x
cormyrean;Cormyrean;;;;;;;;;;;;;x
dalelander;Dalelander;;;;;;;;;;;;;x
duergar;Duergar;;;;;;;;;;;;;x
elf;Elf;;;;;;;;;;;;;x
ffolk;Ffolk;;;;;;;;;;;;;x
ghostwise;Ghostwise;;;;;;;;;;;;;x
gold_dwarf;Gold Dwarf;;;;;;;;;;;;;x
halfelf;Half-elf;;;;;;;;;;;;;x
halfling;Halfling;;;;;;;;;;;;;x
halforc;Half-orc;;;;;;;;;;;;;x
human;Human;;;;;;;;;;;;;x
impilturian;Impilturian;;;;;;;;;;;;;x
lightfoot;Lightfoot;;;;;;;;;;;;;x
moonelf;Moon Elf;;;;;;;;;;;;;x
netherese;Netherese;;;;;;;;;;;;;x
northman;Northman;;;;;;;;;;;;;x
halfbreed;Human crossbreed;;;;;;;;;;;;;x
sembian;Sembian;;;;;;;;;;;;;x
shield_dwarf;Shield Dwarf;;;;;;;;;;;;;x
strongheart;Strongheart;;;;;;;;;;;;;x
tethyrian;Tethyrian;;;;;;;;;;;;;x
tiefling;Tiefling;;;;;;;;;;;;;x
turmish;Turmish;;;;;;;;;;;;;x
urdunnir;Urdunnir;;;;;;;;;;;;;x
vaasan;Vaasan;;;;;;;;;;;;;x
vilhonian;Vilhonian;;;;;;;;;;;;;x
wild_dwarf;Wild Dwarf;;;;;;;;;;;;;x
