#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
k_calimshan;Calimshan;;;;;;;;;;;;;x
k_calimshan_adj;Calishite;;;;;;;;;;;;;x
k_cormyr;Cormyr;Cormyr;Cormyr;;Cormyr;;;;;;;;;x
k_cormyr_adj;Cormyrean;;;;;;;;;;;;;x
k_dalelands;the Dalelands;;;;;;;;;;;;;x
k_dalelands_adj;Dalelandian;;;;;;;;;;;;;x
k_icewind_dale;Icewind Dale;Icewind Dale;Icewind Dale;;Icewind Dale;;;;;;;;;x
k_icewind_dale_adj;Icewind Daler;;;;;;;;;;;;;x
k_moonshae;Moonshae Isles;;;;;;;;;;;;;x
k_moonshae_adj;Moonshaean;;;;;;;;;;;;;x
k_sembia;Sembia;;;;;;;;;;;;;x
k_sembia_adj;Sembian;;;;;;;;;;;;;x
k_tethyr;Tethyr;;;;;;;;;;;;;x
k_tethyr_adj;Tethyrian;;;;;;;;;;;;;x
