PROV1;Icewind Dale;;;;;;;;;;;x
PROV2;Ten-Towns;;;;;;;;;;;x
PROV3;Flamsterd Head;;;;;;;;;;;x
PROV4;Dragon Head;;;;;;;;;;;x
PROV5;Lotan’s Abyss;;;;;;;;;;;x
PROV6;Last Head;;;;;;;;;;;x
PROV7;Corwell Firth;;;;;;;;;;;x
PROV8;Strait of the Leviathan;;;;;;;;;;;x
PROV9;Tir faoi Thoinn;;;;;;;;;;;x
PROV10;The Stonelands;;;;;;;;;;;x
PROV11;Tilverton;;;;;;;;;;;x
PROV12;Thunder Peaks;;;;;;;;;;;x
PROV13;The Stormhorns;;;;;;;;;;;x
PROV14;Hullack Forest;;;;;;;;;;;x
PROV15;The Vast Swamp;;;;;;;;;;;x
PROV16;King’s Forest;;;;;;;;;;;x
PROV17;Suzail;;;;;;;;;;;x
PROV18;The Wyvernwater;;;;;;;;;;;x
PROV19;Eastern Stormhorns;;;;;;;;;;;x
PROV20;East Cormyr;;;;;;;;;;;x
PROV21;Hermit’s Woods;;;;;;;;;;;x
PROV22;Arabel;;;;;;;;;;;x
PROV23;Marsember;;;;;;;;;;;x
PROV24;East Oman;;;;;;;;;;;x
PROV25;West Oman;;;;;;;;;;;x
PROV26;North Alaron;;;;;;;;;;;x
PROV27;Lisburnt Mountains;;;;;;;;;;;x
PROV28;Fairheight;;;;;;;;;;;x
PROV29;Gnarhelm;;;;;;;;;;;x
PROV30;Stagford;;;;;;;;;;;x
PROV31;Talffolk;;;;;;;;;;;x
PROV32;Stirgewick;;;;;;;;;;;x
PROV33;Winterglen;;;;;;;;;;;x
PROV34;Codsbay;;;;;;;;;;;x
PROV35;Black Mountains;;;;;;;;;;;x
PROV36;Myrloch Vale;;;;;;;;;;;x
PROV37;Gwynneth Highlands;;;;;;;;;;;x
PROV38;The Shrouded Lands;;;;;;;;;;;x
PROV39;Cambro Mountains;;;;;;;;;;;x
PROV40;Kingsbay;;;;;;;;;;;x
PROV41;Corwell;;;;;;;;;;;x
PROV42;Kimball;;;;;;;;;;;x
PROV43;Myrloch;;;;;;;;;;;x
PROV44;Caftenor;;;;;;;;;;;x
PROV45;Highport;;;;;;;;;;;x
PROV46;Barret’s Quay;;;;;;;;;;;x
PROV47;Ventris;;;;;;;;;;;x
PROV48;Rabin’s Reef;;;;;;;;;;;x
PROV49;Dennik;;;;;;;;;;;x
PROV50;Jacaman;;;;;;;;;;;x
PROV51;Pandira;;;;;;;;;;;x
PROV52;Graygruun;;;;;;;;;;;x
PROV53;Llorgh;;;;;;;;;;;x
PROV54;Jotunspine;;;;;;;;;;;x
PROV55;Canthrell;;;;;;;;;;;x
PROV56;Jotunhammer Mountains;;;;;;;;;;;x
PROV57;Norland;;;;;;;;;;;x
PROV58;North Cape;;;;;;;;;;;x
PROV59;Grondsgrunn;;;;;;;;;;;x
PROV60;Wave Rocks;;;;;;;;;;;x
PROV61;Trollclaw;;;;;;;;;;;x
PROV62;Moray;;;;;;;;;;;x
PROV63;Orcskill;;;;;;;;;;;x
PROV64;Ossian Rock;;;;;;;;;;;x
PROV65;Flamsterd;;;;;;;;;;;x
PROV66;Snowdown;;;;;;;;;;;x
PROV67;Skadaurak;;;;;;;;;;;x
PROV68;Mintarn;;;;;;;;;;;x
PROV69;Sea of Snowdown;;;;;;;;;;;x
PROV70;Kingsbay;;;;;;;;;;;x
PROV71;Strait of Alaron;;;;;;;;;;;x
PROV72;South Great Head;;;;;;;;;;;x
PROV73;East Great Head;;;;;;;;;;;x
PROV74;Ossian Reefs;;;;;;;;;;;x
PROV75;Strait of Oman;;;;;;;;;;;x
PROV76;Trackless Strait;;;;;;;;;;;x
PROV77;North Cape Bay;;;;;;;;;;;x
PROV78;Bay of Norland;;;;;;;;;;;x
PROV79;Sea of Moonshae;;;;;;;;;;;x
PROV80;Northwind Strait;;;;;;;;;;;x
PROV81;Canthrell Sea;;;;;;;;;;;x
PROV82;Jotunhammer Bay;;;;;;;;;;;x
PROV83;Wave Rocks Bay;;;;;;;;;;;x
PROV84;North Norland Sea;;;;;;;;;;;x
PROV85;Norheim Sea;;;;;;;;;;;x
PROV86;Jotunspine Sea;;;;;;;;;;;x
PROV87;Salmon Bay;;;;;;;;;;;x
PROV88;Graygruun Strait;;;;;;;;;;;x
PROV89;North Norheim Sea;;;;;;;;;;;x
PROV90;Korinn Sea;;;;;;;;;;;x
PROV91;Barret’s Sea;;;;;;;;;;;x
PROV92;Amarune Point;;;;;;;;;;;x
PROV93;Whitefish Bay;;;;;;;;;;;x
PROV94;Thunder Way;;;;;;;;;;;x
PROV95;Daerlun;;;;;;;;;;;x
PROV96;Urmlaspyr;;;;;;;;;;;x
PROV97;Western Sembia;;;;;;;;;;;x
PROV98;Saerloon;;;;;;;;;;;x
PROV99;Northern Sembia;;;;;;;;;;;x
PROV100;Selgaunt;;;;;;;;;;;x
PROV101;Ordulin;;;;;;;;;;;x
PROV102;Yhaunn;;;;;;;;;;;x
PROV103;Sembian Peninsula;;;;;;;;;;;x
