#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
TITLE_CAPTAIN;Captain;;;;;;;;;;;;;x
TITLE_HIGH_CONSTABLE;High Constable;;;;;;;;;;;;;x
TITLE_HIGH_KING;High King;;;;;;;;;;;;;x
TITLE_HIGH_QUEEN;High Queen;;;;;;;;;;;;;x
TITLE_KING;King;;;;;;;;;;;;;x
TITLE_LAIRD;Laird;;;;;;;;;;;;;x
TITLE_LADY;Lady;;;;;;;;;;;;;x
TITLE_LADY_HIGH_MARSHALL;Lady High Marshall;;;;;;;;;;;;;x
TITLE_LADY_MAGISTER;Lady Magister;;;;;;;;;;;;;x
TITLE_LADY_MAYOR;Lady-Mayor;;;;;;;;;;;;;x
TITLE_LORD;Lord;;;;;;;;;;;;;x
TITLE_LORD_HIGH_MARSHALL;Lord High Marshall;;;;;;;;;;;;;x
TITLE_LORD_MAGISTER;Lord Magister;;;;;;;;;;;;;x
TITLE_LORD_MAYOR;Lord-Mayor;;;;;;;;;;;;;x
TITLE_PASHA;Pasha;;;;;;;;;;;;;x
TITLE_PORTMASTER;Portmaster;;;;;;;;;;;;;x
TITLE_PORTMISTRESS;Portmistress;;;;;;;;;;;;;x
TITLE_PRINCE;Prince;;;;;;;;;;;;;x
TITLE_PRINCESS;Princess;;;;;;;;;;;;;x
TITLE_QUEEN;Queen;;;;;;;;;;;;;x
TITLE_TAR;Tar;;;;;;;;;;;;;x
TITLE_VIZER;Vizer;;;;;;;;;;;;;x
TITLE_VIZERA;Vizera;;;;;;;;;;;;;x
