#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
ghazneth;Ghazneth;;;;;;;;;;;;;x
ghazneth_desc;This character has become a Ghazneth, a fell demon who betrayed Cormyr;;;;;;;;;;;;;x
purple_dragon;Purple Dragon;;;;;;;;;;;;;x
purple_dragon_desc;A member of the prestigious military order of Purple Dragons in Cormyr;;;;;;;;;;;;;x
spectral_harpist;Spectral Harpist;;;;;;;;;;;;;x
spectral_harpist_desc;An undead ghostlike form adopted by some former Harpers upon death;;;;;;;;;;;;;x
wizard;Wizard;;;;;;;;;;;;;x
wizard_desc;A user of divine magic;;;;;;;;;;;;;x
zhentarim;Zhentarim;;;;;;;;;;;;;x
zhentarim_desc;A member of the mercenary company of Zhentil Keep;;;;;;;;;;;;;x
