#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
d_cormyr;Cormyr;Cormyr;Cormyr;;Cormyr;;;;;;;;;x
d_cormyr_adj;Cormyrean;;;;;;;;;;;;;x
d_east_cormyr;East Cormyr;East Cormyr;East Cormyr;;East Cormyr;;;;;;;;;x
d_east_cormyr_adj;East Cormyrean;;;;;;;;;;;;;x
d_icewind_dale;Icewind Dale;Icewind Dale;Icewind Dale;;Icewind Dale;;;;;;;;;x
d_icewind_dale_adj;Icewind Daler;;;;;;;;;;;;;x
d_the_stonelands;The Stonelands;The Stonelands;The Stonelands;;The Stonelands;;;;;;;;;x
d_the_stonelands_adj;Stonelander;;;;;;;;;;;;;x
d_the_stormhorns;The Stormhorns;The Stormhorns;The Stormhorns;;The Stormhorns;;;;;;;;;x
d_the_stormhorns_adj;Stormhorner;;;;;;;;;;;;;x
