#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
b_arabel;Arabel;Arabel;Arabel;Arabel;;;;;;;;;x
b_bogbrook;Bogbrook;Bogbrook;Bogbrook;Bogbrook;;;;;;;;;x
b_bospir;Bospir;Bospir;Bospir;Bospir;;;;;;;;;x
b_blustich;Blustich;Blustich;Blustich;Blustich;;;;;;;;;x
b_castle_crag;Castle Crag;Castle Crag;Castle Crag;Castle Crag;;;;;;;;;x
b_collinwood;Collinwood;Collinwood;Collinwood;Collinwood;;;;;;;;;x
b_dawngleam;Dawngleam;Dawngleam;Dawngleam;Dawngleam;;;;;;;;;x
b_dhedluk;Dhedluk;Dhedluk;Dhedluk;Dhedluk;;;;;;;;;x
b_eagle_peak;Eagle Peak;Eagle Peak;Eagle Peak;Eagle Peak;;;;;;;;;x
b_espar;Espar;Espar;Espar;Espar;;;;;;;;;x
b_eveningstar;Eveningstar;Eveningstar;Eveningstar;Eveningstar;;;;;;;;;x
b_forgotten_keep;Forgotten Keep;Forgotten Keep;Forgotten Keep;Forgotten Keep;;;;;;;;;x
b_gladehap;Gladehap;Gladehap;Gladehap;Gladehap;;;;;;;;;x
b_gray_oaks;Gray Oaks;Gray Oaks;Gray Oaks;Gray Oaks;;;;;;;;;x
b_griffon_hill;Griffon Hill;Griffon Hill;Griffon Hill;Griffon Hill;;;;;;;;;x
b_gwarch;Gwarch;Gwarch;Gwarch;Gwarch;;;;;;;;;x
b_halfhap;Halfhap;Halfhap;Halfhap;Halfhap;;;;;;;;;x
b_hidden_vale;Hidden Vale;Hidden Vale;Hidden Vale;Hidden Vale;;;;;;;;;x
b_high_horn;High Horn;High Horn;High Horn;High Horn;;;;;;;;;x
b_highcastle;Highcastle;Highcastle;Highcastle;Highcastle;;;;;;;;;x
b_hillmarch;Hillmarch;Hillmarch;Hillmarch;Hillmarch;;;;;;;;;x
b_hilp;Hilp;Hilp;Hilp;Hilp;;;;;;;;;x
