#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
faerun_group;Faerûnian Pantheon;Faerûnian Pantheon;Faerûnian Pantheon;Faerûnian Pantheon;;;;;;;;;x
faerun_lg;Faerûnian Lawful Good;Faerûnian Lawful Good;Faerûnian Lawful Good;Faerûnian Lawful Good;;;;;;;;;x
faerun_ln;Faerûnian Lawful Neutral;Faerûnian Lawful Neutral;Faerûnian Lawful Neutral;Faerûnian Lawful Neutral;;;;;;;;;x
faerun_le;Faerûnian Lawful Evil;Faerûnian Lawful Evil;Faerûnian Lawful Evil;Faerûnian Lawful Evil;;;;;;;;;x
faerun_ng;Faerûnian Neutral Good;Faerûnian Neutral Good;Faerûnian Neutral Good;Faerûnian Neutral Good;;;;;;;;;x
faerun_n;Faerûnian Neutral;Faerûnian Neutral;Faerûnian Neutral;Faerûnian Neutral;;;;;;;;;x
faerun_ne;Faerûnian Neutral Evil;Faerûnian Neutral Evil;Faerûnian Neutral Evil;Faerûnian Neutral Evil;;;;;;;;;x
faerun_cg;Faerûnian Chaotic Good;Faerûnian Chaotic Good;Faerûnian Chaotic Good;Faerûnian Chaotic Good;;;;;;;;;x
faerun_cn;Faerûnian Chaotic Neutral;Faerûnian Chaotic Neutral;Faerûnian Chaotic Neutral;Faerûnian Chaotic Neutral;;;;;;;;;x
faerun_ce;Faerûnian Chaotic Evil;Faerûnian Chaotic Evil;Faerûnian Chaotic Evil;Faerûnian Chaotic Evil;;;;;;;;;x
GOD_AO;Ao the Overlord;Ao the Overlord;Ao the Overlord;Ao the Overlord;;;;;;;;;x
GOD_AZUTH;Azuth;Azuth;Azuth;Azuth;;;;;;;;;x
GOD_BANE;Bane;Bane;Bane;Bane;;;;;;;;;x
GOD_CHAUNTEA;Chauntea;Chauntea;Chauntea;Chauntea;;;;;;;;;x
GOD_CYRIC;Cyric;Cyric;Cyric;Cyric;;;;;;;;;x
GOD_GOND;Gond;Gond;Gond;Gond;;;;;;;;;x
GOD_HELM;Helm;Helm;Helm;Helm;;;;;;;;;x
GOD_ILMATER;Ilmater;Ilmater;Ilmater;Ilmater;;;;;;;;;x
GOD_KELEMVOR;Kelemvor;Kelemvor;Kelemvor;Kelemvor;;;;;;;;;x
GOD_KOSSUTH;Kossuth;Kossuth;Kossuth;Kossuth;;;;;;;;;x
GOD_LATHANDER;Lathander;Lathander;Lathander;Lathander;;;;;;;;;x
GOD_LOLTH;Lolth;Lolth;Lolth;Lolth;;;;;;;;;x
GOD_MALAR;Malar;Malar;Malar;Malar;;;;;;;;;x
GOD_MASK;Mask;Mask;Mask;Mask;;;;;;;;;x
GOD_MIELIKKI;Mielikki;Mielikki;Mielikki;Mielikki;;;;;;;;;x
GOD_MYSTRA;Mystra;Mystra;Mystra;Mystra;;;;;;;;;x
GOD_OGHMA;Oghma;Oghma;Oghma;Oghma;;;;;;;;;x
GOD_SELUNE;Selûne;Selûne;Selûne;Selûne;;;;;;;;;x
GOD_SHAR;Shar;Shar;Shar;Shar;;;;;;;;;x
GOD_SHAUNDAKUL;Shaundakul;Shaundakul;Shaundakul;Shaundakul;;;;;;;;;x
GOD_SILVANUS;Silvanus;Silvanus;Silvanus;Silvanus;;;;;;;;;x
GOD_SUNE;Sune;Sune;Sune;Sune;;;;;;;;;x
GOD_TALOS;Talos;Talos;Talos;Talos;;;;;;;;;x
GOD_TEMPUS;Tempus;Tempus;Tempus;Tempus;;;;;;;;;x
GOD_TORM;Torm;Torm;Torm;Torm;;;;;;;;;x
GOD_TYMORA;Tymora;Tymora;Tymora;Tymora;;;;;;;;;x
GOD_UMBERLEE;Umberlee;Umberlee;Umberlee;Umberlee;;;;;;;;;x
GOD_WAUKEEN;Waukeen;Waukeen;Waukeen;Waukeen;;;;;;;;;x
PIETY_LG;Lawful Goodness;Lawful Goodness;Lawful Goodness;Lawful Goodness;;;;;;;;;x
PIETY_LN;Lawful Neutrality;Lawful Neutrality;Lawful Neutrality;Lawful Neutrality;;;;;;;;;x
PIETY_LE;Lawful Evil;Lawful Evil;Lawful Evil;Lawful Evil;;;;;;;;;x
PIETY_NG;Neutral Goodness;Neutral Goodness;Neutral Goodness;Neutral Goodness;;;;;;;;;x
PIETY_N;Neutrality;Neutrality;Neutrality;Neutrality;;;;;;;;;x
PIETY_NE;Neutral Evil;Neutral Evil;Neutral Evil;Neutral Evil;;;;;;;;;x
PIETY_CG;Chaotic Goodness;Chaotic Goodness;Chaotic Goodness;Chaotic Goodness;;;;;;;;;x
PIETY_CN:Chaotic Neutrality;Chaotic Neutrality;Chaotic Neutrality;Chaotic Neutrality;;;;;;;;;x
PIETY_CE:Chaotic Evil;Chaotic Evil;Chaotic Evil;Chaotic Evil;;;;;;;;;x
TABLETS_OF_FATE;Tablets of Fate;Tablets of Fate;Tablets of Fate;Tablets of Fate;;;;;;;;;x
